Date,Equity
2025-04-15,10000.0
2025-04-16,9265.400363863428
2025-04-17,9265.400363863428
2025-04-21,9059.972942989127
2025-04-22,9134.096630627313
2025-04-23,9571.4232369653
2025-04-24,10003.455813536928
2025-04-25,10234.29667777462
2025-04-28,10234.29667777462
2025-04-29,10199.258430398251
2025-04-30,10336.22546191299
2025-05-01,10261.902643288544
2025-05-02,10261.902643288544
2025-05-05,10447.821026558353
2025-05-06,10243.20683812234
2025-05-07,10243.20683812234
2025-05-08,10243.20683812234
2025-05-09,10358.027387718275
2025-05-12,10889.828758158457
2025-05-13,11326.952470053275
2025-05-14,11326.952470053275
2025-05-15,11064.273078731332
2025-05-16,11274.031484995136
2025-05-19,11040.218218995096
2025-05-20,10921.86872018662
2025-05-21,10782.350093258825
2025-05-22,10652.453997502374
2025-05-23,10652.453997502374
2025-05-27,11062.869467463175
2025-05-28,10898.703574182058
2025-05-29,10915.12001615857
2025-05-30,10693.013262705175
2025-06-02,11069.629222203974
2025-06-03,11328.432418614282
2025-06-04,11451.074630457642
2025-06-05,11171.992169824938
2025-06-06,11220.276342761503
2025-06-09,11755.265067309603
2025-06-10,11755.265067309603
2025-06-11,11554.95640833407
2025-06-12,11303.139683725245
2025-06-13,11079.938793711885
2025-06-16,11079.938793711885
2025-06-17,11142.18063592676
2025-06-18,11115.004799294069
2025-06-20,11242.118985925932
2025-06-23,11359.589335473558
2025-06-24,12135.420946819479
2025-06-25,12135.420946819479
2025-06-26,12135.420946819479
2025-06-27,12135.420946819479
2025-06-30,11974.245097830119
2025-07-01,11974.245097830119
2025-07-02,11974.245097830119
2025-07-03,11974.245097830119
2025-07-07,11704.214581015749
2025-07-08,11704.214581015749
2025-07-09,11704.214581015749
2025-07-10,11704.214581015749
2025-07-11,11704.214581015749
2025-07-14,11689.826704177203
2025-07-15,11689.826704177203
2025-07-16,11689.826704177203
2025-07-17,11689.826704177203
2025-07-18,11440.59545294061
2025-07-21,11440.59545294061
2025-07-22,11440.59545294061
2025-07-23,11731.19431528483
2025-07-24,11731.19431528483
2025-07-25,11731.19431528483
2025-07-28,11731.19431528483
2025-07-29,11731.19431528483
2025-07-30,11731.19431528483
2025-07-31,11522.070661132428
2025-08-01,11220.801569669353
2025-08-04,11558.732989857446
