Date,Action,Price
2025-04-15,BUY,35.849998474121094
2025-04-24,SELL,39.959999084472656
2025-04-25,BUY,39.630001068115234
2025-05-12,SELL,44.619998931884766
2025-05-13,BUY,45.77000045776367
2025-05-22,SELL,42.290000915527344
2025-05-23,BUY,41.27000045776367
2025-06-03,SELL,47.369998931884766
2025-06-04,BUY,50.279998779296875
2025-06-09,SELL,52.380001068115234
2025-06-11,BUY,51.779998779296875
2025-06-24,SELL,54.209999084472656
2025-06-25,BUY,53.7400016784668
2025-07-01,SELL,53.599998474121094
2025-07-18,BUY,60.720001220703125
2025-07-24,SELL,55.439998626708984
2025-08-04,BUY,47.54499816894531
2025-08-04,FINAL SELL,47.54499816894531
