Date,Action,Price
2025-04-15,BUY,112.19220733642578
2025-04-16,SELL,104.48274230957031
2025-04-17,BUY,101.48294830322266
2025-05-02,SELL,114.49205017089844
2025-05-05,BUY,113.81209564208984
2025-05-13,SELL,129.9209747314453
2025-05-14,BUY,135.33059692382812
2025-06-25,SELL,154.30999755859375
2025-06-26,BUY,155.02000427246094
2025-07-08,SELL,160.0
2025-07-10,BUY,164.10000610351562
2025-07-15,SELL,170.6999969482422
2025-07-16,BUY,171.3699951171875
2025-07-22,SELL,167.02999877929688
