Date,Equity
2025-04-15,10000.0
2025-04-16,9459.402303148836
2025-04-17,9459.402303148836
2025-04-21,9554.46122162599
2025-04-22,9526.999577216351
2025-04-23,9704.442623099347
2025-04-24,10329.718616958471
2025-04-25,10528.285508803914
2025-04-28,10528.285508803914
2025-04-29,10370.144688983668
2025-04-30,10610.605670622395
2025-05-01,10638.767983472992
2025-05-02,11329.821838805277
2025-05-05,11284.32944400422
2025-05-06,11847.570742716964
2025-05-07,11847.570742716964
2025-05-08,12006.68042635357
2025-05-09,11761.895758963326
2025-05-12,12677.798149519213
2025-05-13,12822.62879888838
2025-05-14,12800.190094139833
2025-05-15,12783.870753177613
2025-05-16,12561.525568684923
2025-05-19,12649.239302835329
2025-05-20,12741.033650375297
2025-05-21,12049.517529155886
2025-05-22,12045.437693915332
2025-05-23,11896.52720930561
2025-05-27,12171.909473776504
2025-05-28,11739.457054214778
2025-05-29,11831.251401754746
2025-05-30,11492.63285827876
2025-06-02,11517.111091573082
2025-06-03,12090.315103412428
2025-06-04,12543.166699176929
2025-06-05,12310.620759359343
2025-06-06,12955.219942535883
2025-06-09,13791.567491273467
2025-06-10,13791.567491273467
2025-06-11,13791.567491273467
2025-06-12,13990.533815108363
2025-06-13,13210.912533735634
2025-06-16,14000.684194008412
2025-06-17,13903.23250194102
2025-06-18,13580.420093171826
2025-06-20,13403.78677147044
2025-06-23,13507.330549637923
2025-06-24,13507.330549637923
2025-06-25,13507.330549637923
2025-06-26,13653.646063946911
2025-06-27,13653.646063946911
2025-06-30,13653.646063946911
2025-07-01,13653.646063946911
2025-07-02,13653.646063946911
2025-07-03,13653.646063946911
2025-07-07,13653.646063946911
2025-07-08,13653.646063946911
2025-07-09,13653.646063946911
2025-07-10,13888.642025347584
2025-07-11,13743.605149020454
2025-07-14,13119.39625112091
2025-07-15,13119.39625112091
2025-07-16,13099.282779412655
2025-07-17,13077.340429814989
2025-07-18,12974.94558840939
2025-07-21,13629.544370309666
2025-07-22,13759.366799956075
2025-07-23,13684.3981517662
2025-07-24,13320.529573178374
2025-07-25,13421.096931719649
2025-07-28,13783.136632418065
2025-07-29,13379.041110413727
2025-07-30,13327.843689710928
2025-07-31,12377.030860880144
2025-08-01,12377.030860880144
2025-08-04,12666.878529830794
